step	f1_weighted
4	0.6689261794090271
5	0.6875317692756653
6	0.7028318643569946
7	0.7171157598495483
8	0.7302594184875488
9	0.7412669658660889
10	0.7505606412887573
11	0.7621328830718994
12	0.7697288393974304
13	0.7761623859405518
14	0.7833815813064575
15	0.7879515886306763
16	0.794432520866394
17	0.8002703785896301
18	0.8049203753471375
19	0.8063201308250427
