step	precision
4	0.4807652235031128
5	0.5003820657730103
6	0.5195109844207764
7	0.5351514220237732
8	0.5532984137535095
9	0.5695601105690002
10	0.5820258259773254
11	0.593362033367157
12	0.608286440372467
13	0.6154530644416809
14	0.6283054351806641
15	0.6354978084564209
16	0.6412757635116577
17	0.6558295488357544
18	0.6576918363571167
19	0.665229082107544
